pH,Chlorine,Turbidity,Conductivity,Alkalinity,Temperature,Colour,Total Dissolved Solids,Hardness
7.75,1.73,0.265,96.4,6.0,18.8,25.0,48.2,2.48
7.56,1.8,0.172,95.4,6.2,19.0,24.0,47.7,2.47
7.43,1.74,0.196,96.2,6.7,19.1,22.0,48.1,2.49
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52
7.45,1.76,0.298,96.4,5.9,19.1,21.0,48.2,2.55
7.39,1.73,0.317,95.2,6.0,19.6,22.0,47.6,2.47
7.5,1.7,0.209,96.2,6.1,19.5,24.0,48.1,2.54
7.44,1.74,0.204,95.8,6.2,19.6,21.0,47.9,2.59
7.51,1.75,0.194,98.2,5.9,19.3,26.0,49.1,2.68
7.14,1.82,0.198,96.6,5.8,19.2,26.0,48.3,2.66
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.625
5.24,1.8,0.286,97.6,5.9,19.1,26.0,48.8,2.59
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63
7.69,1.87,0.318,95.4,5.7,18.6,26.0,47.7,2.67
6.84,1.92,0.244,94.6,5.8,18.4,28.0,47.3,2.56
6.98,1.87,0.467,93.8,6.0,18.0,28.0,46.9,2.37
7.24,1.73,0.368,90.0,5.7,17.9,27.0,45.0,2.47
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49
7.36,1.74,0.314,93.2,5.8,18.0,26.0,46.6,2.51
7.15,1.62,0.268,92.4,6.1,18.0,30.0,46.2,2.59
6.99,1.58,0.503,94.2,6.2,17.4,28.0,47.1,2.34
7.54,1.61,0.375,92.8,5.9,17.6,16.0,46.4,2.39
7.61,1.57,0.204,91.8,5.6,17.8,29.0,45.9,2.59
7.62,1.65,0.298,93.0,6.1,17.6,22.0,46.5,2.69
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.325
7.19,1.74,0.456,85.0,4.2,16.2,25.0,42.5,1.96
7.38,1.71,0.508,86.8,5.2,15.7,22.0,43.4,2.09
7.61,1.69,0.31,83.6,5.5,15.7,35.0,41.8,2.24
7.61,1.66,0.311,89.0,5.7,15.5,44.0,44.5,2.41
7.25,1.74,0.321,83.8,5.8,15.1,47.0,43.4,2.59
7.35,1.76,0.344,88.6,6.0,15.0,49.0,44.3,2.63
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62
6.72,1.7,0.3,86.2,5.8,15.5,41.0,43.1,2.61
6.55,1.75,0.271,88.8,5.7,15.4,40.0,44.4,2.49
6.28,1.83,0.344,84.0,5.4,14.6,46.0,42.0,2.51
6.97,1.98,0.307,87.4,5.7,13.9,33.0,43.7,2.6
7.33,1.8,0.398,90.2,5.8,14.1,27.0,45.1,2.49
7.39,1.75,0.363,89.0,5.9,14.3,26.0,44.5,2.38
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.395
7.6,1.76,0.331,85.8,5.6,14.2,28.0,42.9,2.41
6.96,1.91,0.314,90.8,5.9,14.5,26.0,45.4,2.52
6.91,2.2,0.306,91.2,5.8,14.4,27.0,45.6,2.44
6.83,1.85,0.55,83.2,5.7,13.9,26.0,41.6,2.51
8.07,2.17,0.198,86.8,6.9,13.8,29.0,43.4,2.51
7.5,1.75,0.267,89.4,5.9,13.6,27.0,44.7,2.47
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.425
7.14,1.9,0.432,84.6,5.8,13.8,26.0,42.3,2.38
7.14,1.82,0.451,84.8,5.9,13.1,27.0,42.4,2.47
8.29,1.87,0.211,87.2,6.4,13.0,30.0,42.6,2.54
7.71,1.77,0.304,84.6,5.7,12.7,31.0,42.3,2.49
7.76,1.84,0.3,88.0,5.8,12.1,33.0,44.0,2.51
7.22,1.81,0.274,86.8,5.9,11.7,32.0,43.4,2.44
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.455
7.59,1.79,0.196,85.6,6.2,11.5,29.0,42.8,2.47
7.62,1.86,0.177,85.8,5.4,11.6,30.0,42.9,2.51
8.09,1.89,0.181,88.2,5.7,11.8,33.0,44.1,2.62
7.11,1.73,0.173,85.4,5.9,11.8,32.0,42.7,2.54
6.7,1.76,0.312,83.0,5.8,11.8,29.0,41.5,2.39
7.65,1.69,0.264,82.8,5.9,11.6,0.0,41.4,2.47
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.495
8.03,1.73,0.152,90.0,6.2,12.2,30.0,45.0,2.52
7.73,1.76,0.172,89.8,5.9,12.0,31.0,44.9,2.49
7.72,1.76,0.203,90.2,6.0,11.6,21.0,45.1,2.36
7.53,1.72,0.21,87.2,5.8,11.7,23.0,43.6,2.46
7.0,1.8,0.196,87.8,6.0,11.5,26.0,43.9,2.51
7.37,1.77,0.104,87.4,5.7,11.6,31.0,43.7,2.47
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43
7.44,1.76,0.195,87.4,5.8,11.3,23.0,43.7,2.39
7.38,1.59,0.206,86.4,6.0,11.2,22.0,43.2,2.44
7.78,1.63,0.191,88.2,5.7,11.1,24.0,44.1,2.47
7.72,1.42,0.157,84.2,5.7,11.2,27.0,42.1,2.54
7.0,1.66,0.161,85.8,5.9,10.9,28.0,42.9,2.6
6.69,1.6,0.213,83.4,5.6,10.7,31.0,41.7,2.57
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58
7.36,1.67,0.176,84.8,5.8,10.5,31.0,42.4,2.59
7.36,1.62,0.137,83.2,6.1,10.3,0.0,41.6,2.49
7.42,1.7,0.141,89.4,5.8,10.3,30.0,44.7,2.59
7.56,1.67,0.147,47.8,5.7,10.4,29.0,43.9,2.49
7.45,1.72,0.189,83.4,5.8,10.0,29.0,41.7,2.34
7.67,1.73,0.254,83.0,5.9,10.1,30.0,41.5,2.51
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.445
7.45,1.67,0.345,81.8,5.8,10.0,28.0,40.9,2.38
7.71,1.65,0.319,82.2,6.0,9.9,26.0,41.1,2.41
7.56,1.78,0.299,84.6,6.0,9.7,28.0,42.3,2.44
7.45,1.69,0.609,83.8,5.8,9.5,30.0,41.9,2.38
7.8,1.72,0.417,84.8,5.9,9.4,32.0,42.4,2.42
7.79,1.64,0.298,85.0,6.1,9.4,32.0,42.5,2.57
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54
7.66,1.79,0.421,77.2,6.0,7.6,30.0,38.6,2.51
7.15,1.75,0.599,76.6,5.8,7.4,38.0,38.3,2.47
7.42,1.69,0.37,78.8,5.7,7.1,34.0,39.4,2.51
7.42,1.77,0.247,75.0,5.8,7.8,33.0,37.5,2.59
7.11,1.71,0.257,72.4,5.9,6.9,30.0,36.2,2.62
6.87,1.62,0.306,63.0,5.8,6.7,33.0,36.5,2.54
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.515
7.2,1.64,0.284,74.6,6.1,6.7,28.0,37.3,2.49
7.05,1.76,0.417,73.0,5.7,6.1,32.0,36.5,2.49
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
7.51,1.77,0.304,71.6,5.7,6.0,33.0,35.8,2.51
7.47,1.65,1.69,74.2,6.1,5.8,45.0,37.1,5.34
7.52,1.71,0.756,76.0,6.1,5.7,38.0,38.0,4.38
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5
7.36,1.69,0.497,74.0,6.6,5.6,35.0,37.0,2.62
6.77,1.74,0.535,72.2,5.7,5.5,38.0,36.1,4.03
6.94,1.83,0.523,73.8,5.8,5.4,37.0,36.9,3.85
7.27,1.75,0.515,72.2,5.9,5.2,40.0,36.1,3.84
7.36,1.69,0.476,74.8,6.0,5.2,37.0,37.4,3.57
7.66,1.77,0.401,73.6,5.8,5.1,41.0,36.8,3.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.63
7.44,1.76,0.421,71.4,5.7,5.1,47.0,35.7,3.46
7.58,1.72,0.518,70.0,5.6,4.8,42.0,35.0,3.78
7.21,1.7,0.4,72.4,5.9,5.0,50.0,36.2,4.03
7.72,1.77,0.557,69.4,5.9,5.0,40.0,34.7,3.93
7.38,1.79,0.562,75.2,5.7,4.9,39.0,37.6,4.109999999999999
7.31,1.82,0.504,75.0,5.8,4.8,41.0,37.5,4.08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09
7.4,1.82,0.371,76.2,5.7,4.8,40.0,38.1,4.1
7.4,1.77,0.394,75.4,5.9,5.2,43.0,37.7,4.09
5.99,1.72,0.493,58.2,5.8,4.7,42.0,29.1,4.04
7.09,1.78,0.613,70.6,5.5,4.7,42.0,35.3,4.07
7.05,1.74,0.711,71.2,5.7,4.6,45.0,35.6,3.96
7.09,1.71,0.537,69.8,5.9,4.5,43.0,34.9,3.45
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58
7.32,1.76,0.606,72.8,5.8,4.5,43.0,36.4,3.71
5.81,1.7,0.307,60.0,5.1,4.6,44.0,30.0,3.87
5.54,1.83,0.207,60.8,5.4,4.3,41.0,30.4,3.16
5.54,1.83,0.234,61.6,5.5,4.6,40.0,30.8,3.61
6.54,1.87,0.241,69.6,5.9,4.5,37.0,34.8,3.99
7.71,1.84,0.347,70.6,5.8,4.4,46.0,35.3,3.86
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.525
8.34,1.75,0.545,76.8,6.0,4.7,42.0,38.4,3.19
6.98,1.95,0.498,61.0,5.8,4.4,41.0,30.5,3.6100000000000003
7.99,1.92,0.399,62.8,6.0,4.3,42.0,31.4,3.79
8.0,1.89,0.424,64.8,6.2,4.2,40.0,32.4,4.33
7.83,1.72,0.468,70.4,6.4,4.4,43.0,35.2,4.43
7.04,1.75,0.414,71.2,6.0,4.5,43.0,35.6,4.3100000000000005
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1850000000000005
6.76,1.82,0.46,66.8,5.7,4.8,42.0,33.4,4.06
7.18,1.84,0.472,68.4,6.1,4.7,43.0,34.2,4.050000000000001
7.14,1.96,0.442,69.0,5.8,0.0,44.0,34.5,4.03
6.7,1.9,0.472,69.2,5.9,4.4,43.0,34.6,4.03
6.87,1.97,0.423,73.0,6.1,4.4,39.0,36.5,3.55
7.01,1.91,0.589,74.2,5.9,4.4,38.0,37.1,3.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8305599999999997
6.84,1.8,0.519,72.4,5.7,4.2,40.0,36.2,3.6500000000000004
6.67,1.76,0.041,68.2,5.6,4.1,43.0,34.1,3.6100000000000003
6.61,1.94,2.3,69.0,0.0,4.2,36.0,34.5,2.24
6.7,2.0,0.658,68.8,0.0,4.2,35.0,34.4,2.96
6.63,1.97,0.547,67.2,0.0,4.4,42.0,33.6,3.46
6.7,1.94,0.476,68.4,0.0,4.4,40.0,34.2,3.53
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8305599999999997
6.94,1.96,0.478,72.8,0.0,4.3,35.0,36.4,3.21
6.98,1.98,0.632,72.4,0.0,4.2,33.0,36.2,3.55
6.97,1.91,0.547,72.4,0.0,4.5,34.0,36.2,3.73
7.03,1.84,0.371,72.8,0.0,4.5,22.0,36.4,3.8
7.49,1.71,0.386,76.0,0.0,4.3,24.0,38.0,3.91
6.87,1.8,0.399,76.6,0.0,4.3,25.0,38.3,4.12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8305599999999997
6.94,1.7,0.374,76.0,0.0,4.3,30.0,38.0,3.96
6.76,1.96,0.511,71.2,0.0,4.3,24.0,35.6,3.86
6.87,1.81,0.573,74.8,0.0,4.2,23.0,37.4,4.03
6.91,1.84,0.561,74.6,0.0,4.1,25.0,37.3,3.8899999999999997
6.75,2.0,0.593,68.4,0.0,4.0,29.0,34.2,3.6399999999999997
7.06,1.98,0.611,76.4,0.0,4.0,29.0,38.2,3.75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8305599999999997
7.23,2.07,0.507,75.0,0.0,4.0,28.0,37.5,3.83
6.58,1.78,0.499,73.0,0.0,4.0,29.0,36.5,3.96
6.78,1.88,0.463,74.8,0.0,4.0,32.0,37.4,3.31
6.99,1.85,0.421,76.4,0.0,4.2,31.0,38.2,3.56
6.97,1.51,0.316,76.2,5.6,4.1,33.0,38.1,3.49
7.09,1.71,0.301,77.6,5.9,4.2,30.0,38.8,3.81
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8305599999999997
7.14,1.73,0.687,76.8,6.1,4.2,31.0,38.4,3.67
7.21,1.74,0.403,78.8,6.4,4.4,37.0,39.4,3.36
7.07,1.84,0.396,77.6,5.9,3.8,28.0,38.8,3.7
7.06,1.8,0.331,77.0,5.7,4.1,33.0,38.5,3.6399999999999997
7.09,1.9,0.363,77.4,5.5,4.0,31.0,38.7,3.89
6.9,1.83,0.338,77.2,5.7,4.1,30.0,38.6,3.9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8305599999999997
6.73,1.8,0.401,77.6,5.8,4.0,33.0,38.8,3.79
6.79,1.68,0.417,83.6,5.6,4.2,32.0,41.8,3.63
6.45,1.63,0.433,79.4,5.8,4.1,32.0,39.7,3.8200000000000003
6.86,1.7,0.416,81.6,5.9,4.1,33.0,40.8,4.02
6.73,1.69,0.483,76.8,6.1,4.0,31.0,38.4,3.5999999999999996
7.05,1.71,0.481,81.4,6.0,4.0,31.0,40.7,3.63
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8305599999999997
5.5,1.62,0.228,60.2,5.2,4.0,32.0,30.1,3.08
6.59,1.48,0.0,72.6,5.1,4.0,32.0,36.3,3.71
6.94,1.57,0.523,82.0,6.8,4.0,31.0,41.0,4.52
6.95,1.49,0.684,79.0,6.4,4.1,31.0,39.5,4.1
7.08,1.54,0.312,76.6,5.9,4.0,34.0,38.3,4.04
6.92,1.5,0.341,75.2,6.0,4.7,36.0,37.6,3.95
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8305599999999997
7.11,1.61,0.607,81.0,6.2,4.0,31.0,40.5,3.96
6.82,1.5,0.542,74.8,6.5,4.0,30.0,37.4,4.04
7.6,1.58,0.467,81.2,5.9,4.0,35.0,40.6,4.1
7.55,1.57,0.41,81.2,6.0,3.8,37.0,40.6,4.25
7.65,1.53,0.438,81.8,5.8,3.8,36.0,40.9,3.7699999999999996
6.37,1.64,0.342,65.6,5.6,4.0,37.0,32.8,3.96
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8305599999999997
7.79,1.67,0.419,77.0,5.9,3.8,41.0,38.5,4.14
7.29,1.71,0.419,78.0,6.0,4.2,33.0,39.0,4.12
7.22,1.74,0.461,75.4,5.8,4.0,32.0,37.7,4.24
6.94,1.79,0.418,76.8,5.9,4.0,33.0,38.4,4.19
7.22,1.55,0.451,78.4,5.8,3.9,37.0,39.2,3.58
6.74,1.57,0.363,78.6,6.0,4.0,35.0,39.3,3.76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8305599999999997
6.91,1.59,0.399,80.6,6.2,3.9,35.0,40.3,3.96
6.72,1.53,0.402,76.2,6.0,3.9,33.0,38.1,4.05
6.83,1.59,0.49,76.6,6.3,3.8,36.0,38.3,3.74
6.71,1.64,0.476,75.4,6.2,4.1,34.0,37.7,3.6899999999999995
6.68,1.69,0.414,73.8,6.0,4.2,32.0,36.9,3.93
6.8,1.74,0.368,80.6,6.0,4.3,34.0,40.3,3.6100000000000003
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8305599999999997
6.79,1.57,0.45,78.4,6.1,3.8,33.0,39.2,3.83
6.83,1.65,0.456,79.6,6.0,3.6,37.0,39.8,4.0600000000000005
5.66,1.67,0.176,59.8,5.6,3.7,37.0,29.9,4.03
6.77,1.74,0.409,81.2,5.8,3.9,32.0,40.6,4.09
7.44,1.71,0.401,82.0,6.0,3.6,33.0,41.0,4.1499999999999995
7.44,1.74,0.422,82.0,6.1,3.7,34.0,41.0,4.05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8305599999999997
7.47,1.74,0.399,81.8,5.5,3.7,34.0,40.9,3.8600000000000003
7.2,1.78,0.311,82.8,5.9,3.5,32.0,41.4,3.81
7.08,1.74,0.406,83.6,6.0,3.7,31.0,41.8,4.0
7.06,1.77,0.396,83.8,5.8,3.6,33.0,41.9,3.8600000000000003
7.02,1.75,0.516,84.4,5.9,3.5,36.0,42.2,3.55
7.15,1.73,0.531,84.0,6.1,3.5,35.0,42.0,3.75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8305599999999997
6.84,1.75,0.399,84.8,6.0,3.4,34.0,42.4,3.8099999999999996
7.16,1.77,0.499,84.8,6.1,3.5,35.0,42.4,3.88
7.1,1.8,0.499,83.2,5.9,3.5,35.0,41.6,3.6799999999999997
7.17,1.8,0.429,82.2,6.1,3.3,34.0,41.1,3.74
7.14,1.82,0.436,82.4,6.1,3.4,31.0,41.2,3.5999999999999996
7.13,1.77,0.461,83.8,5.7,3.3,34.0,41.9,3.6900000000000004
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8305599999999997
7.2,1.73,0.521,85.8,6.0,3.2,32.0,42.9,3.7
7.22,1.73,0.518,83.8,3.3,3.3,30.0,41.9,3.6500000000000004
7.37,1.7,0.382,87.2,5.9,3.3,34.0,43.6,3.54
7.3,1.77,0.426,88.0,5.7,3.8,33.0,44.0,3.6900000000000004
6.71,1.68,0.453,85.8,5.9,3.4,34.0,42.9,3.73
6.82,1.73,0.471,85.0,5.6,3.5,32.0,42.5,3.81
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8305599999999997
6.98,1.67,0.46,82.8,5.6,3.4,38.0,41.4,3.75
6.99,1.65,0.398,84.4,5.7,3.4,38.0,42.2,3.7600000000000002
6.93,1.73,0.496,84.2,5.9,3.4,40.0,42.1,3.8899999999999997
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8305599999999997
7.35,1.57,0.553,83.8,6.0,3.5,46.0,41.9,3.8
7.09,1.66,0.511,84.2,5.9,3.6,43.0,42.1,3.6599999999999997
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8305599999999997
6.83,1.61,0.471,60.6,5.8,3.6,44.0,30.3,3.7
5.65,1.86,0.271,60.6,5.5,3.5,42.0,30.3,4.43
5.62,1.98,0.135,65.2,5.6,3.5,42.0,32.6,4.05
6.95,1.6,0.624,76.2,6.0,3.7,41.0,38.1,4.0
7.1,1.67,0.51,72.4,6.0,3.9,44.0,36.2,3.91
7.3,1.74,0.369,80.4,5.9,3.8,43.0,40.2,3.77
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8305599999999997
7.26,1.68,0.686,79.4,5.8,3.8,52.0,39.7,3.67
7.24,1.69,0.677,74.0,5.9,4.0,49.0,37.0,3.73
7.18,1.74,0.479,78.2,5.7,4.0,48.0,39.1,3.7600000000000002
7.55,1.69,0.512,81.8,5.8,4.1,49.0,40.9,3.77
6.53,1.61,0.361,77.4,5.9,4.1,49.0,38.7,3.87
6.84,1.69,0.563,79.0,5.6,4.0,48.0,39.5,3.9699999999999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8305599999999997
6.68,1.66,0.507,70.2,5.7,4.0,50.0,35.1,3.97
6.57,1.7,0.542,72.6,6.2,4.1,51.0,36.3,4.03
7.02,1.55,0.538,71.2,6.0,4.4,50.0,35.6,4.03
6.8,1.64,0.53,70.8,6.1,4.5,50.0,35.4,4.01
7.11,1.63,0.822,70.4,5.9,4.1,51.0,35.2,3.8
7.07,1.65,0.468,67.2,5.9,4.5,49.0,33.6,3.76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8305599999999997
8.86,1.44,0.473,84.4,6.3,4.1,47.0,42.2,3.79
6.51,1.58,0.766,65.8,5.6,4.0,48.0,32.9,3.87
6.27,1.66,0.731,65.4,5.8,4.0,44.0,32.7,3.73
6.81,1.68,0.681,66.4,5.9,4.0,43.0,33.2,3.75
7.53,1.71,0.524,68.4,5.8,4.4,54.0,34.2,3.8
7.71,1.75,0.368,70.4,5.8,4.4,48.0,35.2,3.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8305599999999997
7.01,1.61,0.469,68.4,5.9,4.6,47.0,34.2,3.86
7.3,1.79,0.543,73.0,6.0,5.9,41.0,36.5,3.7699999999999996
7.09,1.84,0.427,65.2,5.9,6.2,47.0,32.6,3.83
6.45,1.81,0.594,62.4,6.1,6.8,50.0,31.2,3.79
7.15,1.84,0.481,71.2,5.9,7.4,51.0,35.6,3.8499999999999996
8.35,1.57,0.397,84.0,6.2,7.6,51.0,42.0,3.8200000000000003
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8305599999999997
7.97,1.8,0.201,82.8,6.2,8.1,50.0,41.4,3.8499999999999996
7.7,1.79,0.237,81.4,0.0,5.9,52.0,40.7,3.9699999999999998
7.8,1.89,0.281,86.2,5.9,8.2,49.0,43.1,3.66
7.77,1.87,0.174,89.6,5.8,9.3,47.0,44.8,3.59
7.88,1.83,0.201,88.0,5.9,9.7,42.0,44.0,3.71
7.56,1.64,0.272,83.2,6.0,10.6,40.0,41.6,3.7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8305599999999997
7.48,1.6,0.236,89.6,6.1,12.0,42.0,44.8,3.9899999999999998
7.58,1.58,0.261,90.0,6.3,12.1,44.0,45.0,3.9899999999999998
7.52,1.48,0.203,91.4,6.4,12.1,40.0,45.7,3.6100000000000003
7.96,1.62,0.231,85.8,6.2,12.0,49.0,42.9,3.59
4.78,1.69,0.124,86.8,5.9,12.1,47.0,43.4,3.5999999999999996
7.55,1.77,0.127,89.2,6.2,0.0,51.0,44.6,3.94
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8305599999999997
7.88,1.68,0.169,88.0,6.0,12.9,42.0,44.0,3.69
7.35,1.71,0.225,88.4,5.8,12.8,40.0,44.2,3.88
7.23,1.73,0.212,81.0,5.9,12.1,40.0,40.5,3.63
7.27,1.74,0.597,81.6,6.0,12.2,43.0,40.8,3.99
6.95,1.69,0.306,81.4,6.1,12.5,44.0,40.7,4.05
7.53,1.73,0.116,83.8,6.3,12.9,43.0,41.9,3.93
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8305599999999997
7.17,1.74,0.301,83.4,5.7,13.1,42.0,41.7,4.05
7.6,1.8,0.176,88.2,6.1,13.4,50.0,44.1,3.89
7.67,1.77,0.192,87.8,6.3,13.8,48.0,43.9,3.94
7.44,1.73,0.173,86.4,6.4,13.8,48.0,43.2,4.04
7.24,1.73,0.15,87.0,6.2,13.8,47.0,43.5,3.9299999999999997
7.52,1.77,0.148,85.6,6.1,13.6,45.0,42.8,4.03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8305599999999997
7.44,1.69,0.117,86.8,6.3,13.9,46.0,43.4,4.07
7.63,1.74,0.128,88.4,6.1,13.9,48.0,44.2,4.08
7.54,1.64,0.159,89.2,6.0,14.6,37.0,44.6,3.83
7.56,1.6,0.196,92.8,5.9,15.6,35.0,46.4,4.0
7.58,1.63,0.181,88.6,6.0,15.6,37.0,44.3,3.98
7.38,1.61,0.191,94.4,5.9,17.4,32.0,47.2,3.9299999999999997
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8305599999999997
6.98,1.48,0.162,97.6,6.0,17.6,33.0,48.8,3.86
7.5,1.54,0.143,98.6,5.8,17.5,32.0,49.3,3.7
7.1,1.58,0.17,94.0,6.1,18.1,39.0,47.0,3.93
7.38,1.61,0.137,98.0,6.0,18.5,33.0,49.0,4.050000000000001
7.23,1.59,0.163,94.0,5.8,17.9,36.0,47.0,4.01
6.96,1.76,0.189,92.8,6.0,17.3,36.0,46.4,3.89
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8305599999999997
6.87,1.79,0.144,93.4,5.9,17.1,32.0,46.7,3.8
6.91,1.62,0.415,73.0,6.0,17.3,33.0,36.5,3.73
7.55,1.6,0.217,101.4,6.2,17.8,34.0,50.7,3.83
7.08,1.72,0.178,99.2,6.1,18.3,33.0,49.6,3.88
7.07,1.63,0.143,97.4,5.9,18.0,31.0,48.7,3.73
7.27,1.77,0.191,97.2,6.0,19.0,30.0,48.6,3.69
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8305599999999997
6.61,1.78,0.194,91.4,6.1,18.0,32.0,45.7,3.77
7.15,1.8,0.216,94.8,6.0,18.4,33.0,47.4,3.8
7.02,1.8,0.218,93.4,5.8,17.7,35.0,46.7,3.5300000000000002
6.96,1.9,0.239,92.0,6.0,17.1,30.0,46.0,3.55
7.19,1.84,0.124,94.6,5.8,16.9,47.0,47.3,3.55
6.79,1.87,0.196,95.4,5.9,17.0,36.0,47.7,3.56
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8305599999999997
7.03,1.87,0.315,88.4,6.0,18.2,29.0,44.2,3.75
7.0,1.78,0.336,87.8,5.8,18.4,28.0,43.9,3.7699999999999996
6.51,1.87,0.296,87.2,5.8,18.8,31.0,43.6,4.0
6.83,1.9,0.211,92.4,5.8,18.9,31.0,46.2,3.8600000000000003
6.92,1.87,0.194,97.4,5.9,19.3,34.0,48.7,3.9000000000000004
7.02,1.75,0.396,94.8,5.7,19.1,32.0,47.4,3.89
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8305599999999997
7.72,1.79,0.104,105.0,5.9,18.9,45.0,52.5,3.71
7.69,1.84,0.113,102.2,6.2,18.8,34.0,51.1,3.9000000000000004
7.13,1.79,0.344,98.6,6.0,18.9,32.0,49.3,3.83
7.43,1.82,0.213,96.8,6.2,18.8,34.0,48.4,3.9899999999999998
7.25,1.63,0.313,97.4,6.0,18.7,33.0,48.7,3.7699999999999996
7.42,1.57,0.209,95.2,6.2,18.5,32.0,47.6,3.84
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8305599999999997
7.27,1.59,0.261,96.0,6.0,18.7,33.0,48.0,3.9499999999999997
7.38,1.68,0.226,93.2,5.9,19.2,32.0,46.6,4.03
7.06,1.7,0.212,102.4,6.2,18.8,31.0,51.2,3.75
7.48,1.73,0.116,96.6,6.3,18.9,33.0,48.3,3.79
6.7,1.65,0.139,98.4,6.2,19.0,51.0,49.2,3.79
6.62,1.7,0.192,94.8,5.1,19.0,52.0,47.4,3.91
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8305599999999997
6.3,1.75,0.332,91.0,5.6,19.9,26.0,45.5,3.82
6.66,1.7,0.242,92.6,5.8,20.1,28.0,46.3,3.73
6.88,1.72,0.149,101.4,6.0,20.5,30.0,50.7,3.85
6.82,1.67,0.186,47.4,6.1,20.3,30.0,47.4,3.66
6.91,1.7,0.344,98.0,6.0,20.5,32.0,49.0,3.7800000000000002
6.75,1.63,0.173,96.0,5.9,19.8,32.0,48.0,3.8305599999999997
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8305599999999997
7.49,1.74,0.309,98.0,6.0,20.0,21.0,49.0,3.8305599999999997
6.53,1.69,0.286,99.2,5.8,19.9,25.0,49.6,3.8305599999999997
6.56,1.7,0.193,96.0,5.7,19.7,27.0,48.0,3.8305599999999997
7.03,1.67,0.206,92.8,5.4,19.7,36.0,46.4,3.8305599999999997
7.16,1.74,0.411,93.6,5.9,19.9,30.0,46.8,3.8305599999999997
6.4,1.75,0.353,91.8,6.0,19.3,29.0,45.9,3.8305599999999997
